username,first_name,last_name,email,department,program,role_name,sections
151,shailesh,Nandkule,nandkule@cse.iitk.ac.in,cse,B-tech,Student,A1
152,shailesh,Nandkule,asd@asd0.com,cse,B-tech,Student,A1
153,shailesh,Nandkule,asd@asd1.com,cse,B-tech,Student,A1
154,shailesh,Nandkule,asd@asd2.com,cse,B-tech,Student,A1
155,shailesh,Nandkule,asd@asd3.com,cse,B-tech,Student,A1
156,shailesh,Nandkule,asd@asd4.com,cse,B-tech,Student,A1
157,shailesh,Nandkule,asd@asd5.com,cse,B-tech,Student,A1
158,shailesh,Nandkule,asd@asd6.com,cse,B-tech,Student,A1
159,shailesh,Nandkule,asd@asd7.com,cse,B-tech,Student,A1
160,shailesh,Nandkule,asd@asd8.com,cse,B-tech,Student,A1
11,shailesh,Nandkule,asd@asd9.com,cse,B-tech,Grader,A1
12,shailesh,Nandkule,asd@asd10.com,cse,B-tech,Grader,A1
13,shailesh,Nandkule,asd@asd11.com,cse,B-tech,Grader,A1
14,shailesh,Nandkule,asd@asd12.com,cse,B-tech,Grader,A1
15,shailesh,Nandkule,asd@asd13.com,cse,B-tech,Grader,A1
101,shailesh,Nandkule,asd@asd14.com,cse,B-tech,Student,A1
102,shailesh,Nandkule,asd@asd15.com,cse,B-tech,Student,A1
103,shailesh,Nandkule,asd@asd16.com,cse,B-tech,Student,A1
104,shailesh,Nandkule,asd@asd17.com,cse,B-tech,Student,A1
105,shailesh,Nandkule,asd@asd18.com,cse,B-tech,Student,A1
106,shailesh,Nandkule,asd@asd19.com,cse,B-tech,Student,A1
107,shailesh,Nandkule,asd@asd20.com,cse,B-tech,Student,A1
108,shailesh,Nandkule,asd@asd21.com,cse,B-tech,Student,A1
109,shailesh,Nandkule,asd@asd22.com,cse,B-tech,Student,A1
110,shailesh,Nandkule,asd@asd23.com,cse,B-tech,Student,A1
111,shailesh,Nandkule,asd@asd24.com,cse,B-tech,Student,A1
112,shailesh,Nandkule,asd@asd25.com,cse,B-tech,Student,A1
113,shailesh,Nandkule,asd@asd26.com,cse,B-tech,Student,A1
114,shailesh,Nandkule,asd@asd27.com,cse,B-tech,Student,A1
115,shailesh,Nandkule,asd@asd28.com,cse,B-tech,Student,A1
116,shailesh,Nandkule,asd@asd29.com,cse,B-tech,Student,A1
117,shailesh,Nandkule,asd@asd30.com,cse,B-tech,Student,A1
118,shailesh,Nandkule,asd@asd31.com,cse,B-tech,Student,A1
119,shailesh,Nandkule,asd@asd32.com,cse,B-tech,Student,A1
120,shailesh,Nandkule,asd@asd33.com,cse,B-tech,Student,A1
121,shailesh,Nandkule,asd@asd34.com,cse,B-tech,Student,A1
122,shailesh,Nandkule,asd@asd35.com,cse,B-tech,Student,A1
123,shailesh,Nandkule,asd@asd36.com,cse,B-tech,Student,A1
124,shailesh,Nandkule,asd@asd37.com,cse,B-tech,Student,A1
125,shailesh,Nandkule,asd@asd38.com,cse,B-tech,Student,A1
126,shailesh,Nandkule,asd@asd39.com,cse,B-tech,Student,A1
127,shailesh,Nandkule,asd@asd40.com,cse,B-tech,Student,A1
128,shailesh,Nandkule,asd@asd41.com,cse,B-tech,Student,A1
129,shailesh,Nandkule,asd@asd42.com,cse,B-tech,Student,A1
130,shailesh,Nandkule,asd@asd43.com,cse,B-tech,Student,A1
131,shailesh,Nandkule,asd@asd44.com,cse,B-tech,Student,A1
132,shailesh,Nandkule,asd@asd45.com,cse,B-tech,Student,A1
133,shailesh,Nandkule,asd@asd46.com,cse,B-tech,Student,A1
134,shailesh,Nandkule,asd@asd47.com,cse,B-tech,Student,A1
135,shailesh,Nandkule,asd@asd48.com,cse,B-tech,Student,A1
136,shailesh,Nandkule,asd@asd49.com,cse,B-tech,Student,A1
137,shailesh,Nandkule,asd@asd50.com,cse,B-tech,Student,A1
138,shailesh,Nandkule,asd@asd51.com,cse,B-tech,Student,A1
139,shailesh,Nandkule,asd@asd52.com,cse,B-tech,Student,A1
140,shailesh,Nandkule,asd@asd53.com,cse,B-tech,Student,A1
141,shailesh,Nandkule,asd@asd54.com,cse,B-tech,Student,A1
142,shailesh,Nandkule,asd@asd55.com,cse,B-tech,Student,A1
143,shailesh,Nandkule,asd@asd56.com,cse,B-tech,Student,A1
144,shailesh,Nandkule,asd@asd57.com,cse,B-tech,Student,A1
145,shailesh,Nandkule,asd@asd58.com,cse,B-tech,Student,A1
146,shailesh,Nandkule,asd@asd59.com,cse,B-tech,Student,A1
147,shailesh,Nandkule,asd@asd60.com,cse,B-tech,Student,A1
148,shailesh,Nandkule,asd@asd61.com,cse,B-tech,Student,A1
149,shailesh,Nandkule,asd@asd62.com,cse,B-tech,Student,A1
150,shailesh,Nandkule,asd@asd63.com,cse,B-tech,Student,A1
